year,vote,rep_respondent,ind_respondent,dem_respondent,state,id,comp_challenger,comp_incumbent,cook,pop,expenditures,dem_inc,inc_age,inc_tenure,vote_incumbent,same,diff,cook_inc_risk
2004,"2. republican",0,1,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,0,0,3
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
2004,"2. republican",0,1,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,0,0,3
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
2004,"2. republican",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,0,1,3
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
2004,"2. republican",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,0,1,3
2004,"2. republican",0,1,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,0,0,3
2004,"2. republican",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,0,1,3
2004,"2. republican",0,1,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,0,0,3
2004,"1. democrat",0,0,1,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,0,0,1,3
2004,"2. republican",0,1,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,0,0,3
2004,"2. republican",1,0,0,"AL","AL_2004",-.9653361,1.161491,"SolidRep",4.517442,8.490644,0,70,17,1,1,0,3
1992,"1. democrat",0,0,1,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,1,1,0,3
1992,"2. republican",1,0,0,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,0,0,1,3
1992,"2. republican",1,0,0,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,0,0,1,3
1992,"1. democrat",0,0,1,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,1,1,0,3
1992,"1. democrat",0,0,1,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,1,1,0,3
1992,"1. democrat",1,0,0,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,1,0,1,3
1992,"1. democrat",0,0,1,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,1,1,0,3
1992,"1. democrat",0,0,1,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,1,1,0,3
1992,"2. republican",0,1,0,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,0,0,0,3
1992,"1. democrat",0,0,1,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,1,1,0,3
1992,"1. democrat",0,0,1,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,1,1,0,3
1992,"1. democrat",0,0,1,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,1,1,0,3
1992,"1. democrat",0,0,1,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,1,1,0,3
1992,"1. democrat",0,0,1,"AR","AR_1992",.2143184,1.968683,"SolidDem",2.394098,13.72143,1,67,17,1,1,0,3
2002,"1. democrat",0,0,1,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,0,0,1,0
2002,"2. republican",1,0,0,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,1,1,0,0
2002,"2. republican",1,0,0,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,1,1,0,0
2002,"1. democrat",0,0,1,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,0,0,1,0
2002,"1. democrat",0,0,1,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,0,0,1,0
2002,"2. republican",1,0,0,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,1,1,0,0
2002,"2. republican",1,0,0,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,1,1,0,0
2002,"2. republican",1,0,0,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,1,1,0,0
2002,"1. democrat",0,0,1,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,0,0,1,0
2002,"1. democrat",0,1,0,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,0,0,0,0
2002,"1. democrat",0,0,1,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,0,0,1,0
2002,"1. democrat",0,1,0,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,0,0,0,0
2002,"2. republican",0,1,0,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,1,0,0,0
2002,"2. republican",0,1,0,"AR","AR_2002",.4336379,.8431149,"TossUpRep",2.706198,15.30033,0,53,5,1,0,0,0
2004,"1. democrat",0,1,0,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,1,0,0,3
2004,"1. democrat",0,0,1,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,1,1,0,3
2004,"1. democrat",0,0,1,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,1,1,0,3
2004,"1. democrat",0,1,0,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,1,0,0,3
2004,"2. republican",0,1,0,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,0,0,0,3
2004,"1. democrat",0,0,1,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,1,1,0,3
2004,"1. democrat",0,0,1,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,1,1,0,3
2004,"1. democrat",0,0,1,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,1,1,0,3
2004,"1. democrat",1,0,0,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,1,0,1,3
2004,"2. republican",1,0,0,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,0,0,1,3
2004,"2. republican",0,0,1,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,0,1,0,3
2004,"1. democrat",0,0,1,"AR","AR_2004",.8700396,1.135566,"SolidDem",2.746823,11.90956,1,44,5,1,1,0,3
1998,"2. republican",0,1,0,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,1,0,0,2
1998,"2. republican",1,0,0,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,1,1,0,2
1998,"1. democrat",0,1,0,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,0,0,0,2
1998,"1. democrat",0,0,1,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,0,0,1,2
1998,"2. republican",1,0,0,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,1,1,0,2
1998,"2. republican",0,1,0,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,1,0,0,2
1998,"2. republican",1,0,0,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,1,1,0,2
1998,"2. republican",1,0,0,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,1,1,0,2
1998,"2. republican",1,0,0,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,1,1,0,2
1998,"1. democrat",0,0,1,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,0,0,1,2
1998,"1. democrat",0,0,1,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,0,0,1,2
1998,"2. republican",1,0,0,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,1,1,0,2
1998,"2. republican",0,1,0,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,1,0,0,2
1998,"2. republican",1,0,0,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,1,1,0,2
1998,"1. democrat",0,0,1,"CO","CO_1998",-.6815257,-1.021123,"LeanRep",3.968967,14.41369,0,65,5,0,0,1,2
2002,"2. republican",1,0,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,1,0,2
2002,"2. republican",0,1,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,0,0,2
2002,"1. democrat",0,1,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,0,0,0,2
2002,"2. republican",1,0,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,1,0,2
2002,"1. democrat",0,0,1,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,0,0,1,2
2002,"2. republican",0,1,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,0,0,2
2002,"1. democrat",0,0,1,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,0,0,1,2
2002,"2. republican",1,0,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,1,0,2
2002,"1. democrat",0,1,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,0,0,0,2
2002,"2. republican",1,0,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,1,0,2
2002,"1. democrat",1,0,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,0,1,0,2
2002,"2. republican",0,1,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,0,0,2
2002,"2. republican",0,0,1,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,0,1,2
2002,"1. democrat",0,0,1,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,0,0,1,2
2002,"2. republican",0,1,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,0,0,2
2002,"2. republican",1,0,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,1,0,2
2002,"2. republican",0,1,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,0,0,2
2002,"2. republican",0,1,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,0,0,2
2002,"1. democrat",0,0,1,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,0,0,1,2
2002,"2. republican",0,1,0,"CO","CO_2002",-.7904364,-.2319873,"LeanRep",4.500122,15.45655,0,59,5,1,0,0,2
1998,"1. democrat",0,0,1,"CT","CT_1998",.6520531,-.5436258,"SolidDem",3.272563,14.20641,1,54,17,1,1,0,3
1998,"2. republican",1,0,0,"CT","CT_1998",.6520531,-.5436258,"SolidDem",3.272563,14.20641,1,54,17,0,0,1,3
1998,"1. democrat",0,1,0,"CT","CT_1998",.6520531,-.5436258,"SolidDem",3.272563,14.20641,1,54,17,1,0,0,3
1998,"2. republican",1,0,0,"CT","CT_1998",.6520531,-.5436258,"SolidDem",3.272563,14.20641,1,54,17,0,0,1,3
1998,"1. democrat",0,1,0,"CT","CT_1998",.6520531,-.5436258,"SolidDem",3.272563,14.20641,1,54,17,1,0,0,3
1998,"1. democrat",0,0,1,"CT","CT_1998",.6520531,-.5436258,"SolidDem",3.272563,14.20641,1,54,17,1,1,0,3
1998,"1. democrat",0,1,0,"CT","CT_1998",.6520531,-.5436258,"SolidDem",3.272563,14.20641,1,54,17,1,0,0,3
1998,"1. democrat",1,0,0,"CT","CT_1998",.6520531,-.5436258,"SolidDem",3.272563,14.20641,1,54,17,1,0,1,3
1998,"1. democrat",0,0,1,"CT","CT_1998",.6520531,-.5436258,"SolidDem",3.272563,14.20641,1,54,17,1,1,0,3
2004,"1. democrat",0,1,0,"CT","CT_2004",.2912737,-.5436258,"SolidDem",3.493893,14.19559,1,60,23,1,0,0,3
2004,"1. democrat",0,1,0,"CT","CT_2004",.2912737,-.5436258,"SolidDem",3.493893,14.19559,1,60,23,1,0,0,3
2004,"1. democrat",0,1,0,"CT","CT_2004",.2912737,-.5436258,"SolidDem",3.493893,14.19559,1,60,23,1,0,0,3
2004,"1. democrat",0,1,0,"CT","CT_2004",.2912737,-.5436258,"SolidDem",3.493893,14.19559,1,60,23,1,0,0,3
2004,"2. republican",1,0,0,"CT","CT_2004",.2912737,-.5436258,"SolidDem",3.493893,14.19559,1,60,23,0,0,1,3
2004,"1. democrat",0,1,0,"CT","CT_2004",.2912737,-.5436258,"SolidDem",3.493893,14.19559,1,60,23,1,0,0,3
2004,"1. democrat",0,1,0,"CT","CT_2004",.2912737,-.5436258,"SolidDem",3.493893,14.19559,1,60,23,1,0,0,3
2000,"2. republican",1,0,0,"DE","DE_2000",.6314362,-.5148034,"LeanRep",.786505,14.77446,0,79,29,1,1,0,2
2002,"1. democrat",1,0,0,"DE","DE_2002",1.010126,.3579559,"SolidDem",.805591,14.52509,1,60,29,1,0,1,3
1994,"2. republican",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,1,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"1. democrat",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,0,1
1994,"2. republican",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,1,1
1994,"1. democrat",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,0,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,1,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,0,1
1994,"1. democrat",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,0,1
1994,"1. democrat",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,1,1
1994,"2. republican",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,0,1
1994,"1. democrat",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,1,1
1994,"2. republican",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,1,1
1994,"1. democrat",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,1,1
1994,"2. republican",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,0,1
1994,"2. republican",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,1,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,1,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"1. democrat",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,0,1
1994,"2. republican",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,0,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,1,1
1994,"1. democrat",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,1,1
1994,"2. republican",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,0,1
1994,"1. democrat",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,1,1
1994,"1. democrat",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,1,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"1. democrat",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,0,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,0,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"2. republican",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,0,1
1994,"2. republican",1,0,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,1,0,1
1994,"1. democrat",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,1,1
1994,"2. republican",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,1,1
1994,"1. democrat",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,0,1
1994,"1. democrat",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,1,1
1994,"2. republican",0,1,0,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,0,1
1994,"1. democrat",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,0,0,1,1
1994,"2. republican",0,0,1,"FL","FL_1994",-2.41846,1.144168,"LikelyRep",13.9618,13.33958,0,54,5,1,0,1,1
1998,"1. democrat",0,1,0,"FL","FL_1998",1.194052,.5626421,"LikelyDem",14.90823,14.21261,1,62,11,1,0,0,1
1998,"1. democrat",0,0,1,"FL","FL_1998",1.194052,.5626421,"LikelyDem",14.90823,14.21261,1,62,11,1,1,0,1
1998,"2. republican",1,0,0,"FL","FL_1998",1.194052,.5626421,"LikelyDem",14.90823,14.21261,1,62,11,0,0,1,1
1998,"1. democrat",1,0,0,"FL","FL_1998",1.194052,.5626421,"LikelyDem",14.90823,14.21261,1,62,11,1,0,1,1
1998,"1. democrat",0,0,1,"FL","FL_1998",1.194052,.5626421,"LikelyDem",14.90823,14.21261,1,62,11,1,1,0,1
